id,name
31212,S
78848,S
99599,C
109255,L
1817034,M
9857,K
5248,L
4483,D
13570,S
3417,T
56890,M
46393,R
8893,S
1162,R
1204293,J
27116,K
1066777,M
65013,R
4808,G
67315,T
2734157,X
2045089,J
4687,P
90654,P
19011,G
1189929,C
82388,B
11074,K
40009,M
1062,C
437100,T
33260,F
81663,V
73640,J
73642,H
2021205,F
1911675,Y
1619,C
1338,M
68676,Y
1635792,Y
130394,H
238888,T
695,R
64825,H
149589,S
143240,J
97772,M
15417,D
16927,G
12147,S
13784,B
12149,R
112219,M
112217,B
53862,K
16478,J
160172,C
6,A
2,M
3,H
10930,I
2140901,G
4173,A
5049,J
10774,A
1394681,S
1394682,R
21063,P
52404,M
99662,M
82170,J
83463,N
543105,E
4070,G
40167,D
13294,G
16303,C
94759,G
834,O
16523,B
46392,L
1428,M
118421,J
118422,G
22860,C
1430,K
1171675,I
22861,C
44999,B
95486,S
110001,P
85930,J
90388,S
107602,J
592587,J
107209,D
184306,B
1228004,G
1736908,P
82702,M
18793,K
54421,J
71860,M
1596154,P
155488,K
964397,M
72754,E
60074,J
1245537,S
4027,F
67367,R
12659,B
2240369,B
82280,L
192,M
12052,G
819,E
1283,H
17288,M
1267329,L
144302,C
15152,J
52057,O
1897169,C
45042,A
553721,N
1789239,R
561869,A
62649,R
50463,M
12021,M
9278,J
63,M
113505,K
225620,R
31137,B
62093,S
21353,I
105762,J
1350470,A
1922617,J
587035,N
154382,J
31134,D
74613,T
1222355,B
8984,B
88620,L
19961,N
180986,C
73956,J
1237,F
2406668,R
2406671,S
77018,C
1037398,D
1722123,D
14464,J
92876,P
12446,P
11281,S
40960,J
207067,E
937,D
8223,J
1205,R
20376,S
40176,A
1278363,J
150193,S
18632,B
2030027,A
2033613,V
91431,T
1046088,E
146964,K
1171032,A
1190206,D
1400290,A
32,R
33,G
52,D
5149,B
3197,T
24,R
28,W
36801,A
22226,P
5676,M
5682,A
2369,M
78934,B
4958,H
3784,M
20564,T
27442,R
39274,L
12259,V
27392,E
27642,L
22383,F
120640,S
1073982,F
3829,J
1098404,P
15135,A
6014,A
1061561,M
1018937,J
11090,E
39995,M
39121,R
15535,R
86655,A
111402,R
111404,D
1160640,R
191275,S
1160641,R
111403,T
11856,D
52564,D
94792,T
1181353,R
131273,M
70569,D
76689,S
1120207,Z
62053,D
117092,L
1338524,M
1192274,J
91351,S
11370,E
1893288,T
7172,J
22859,J
6352,J
13301,Q
13242,P
10872,P
7090,K
52951,J
1041277,S
1041278,D
1041279,L
1230,J
20493,S
5656,N
1245,S
1023139,A
2209240,T
2426776,Z
141289,J
9316,J
80892,M
80894,Z
1088666,T
1515687,R
39658,S
973,J
974,D
975,N
68455,J
78333,E
57096,M
1211217,S
20049,D
47933,A
34546,M
7063,N
1072976,D
1073001,G
27554,A
70654,M
1415341,K
1267653,C
1003,J
524,N
1810,H
219479,C
36190,E
44712,J
2056726,K
40389,B
5699,P
16294,J
45230,C
56444,R
41234,J
142858,M
7505,R
26557,F
510,T
1116483,D
131814,M
222054,S
1483204,R
1483206,T
8724,E
30296,J
29903,P
20143,J
12250,J
97243,H
1367,A
585902,N
1328,S
173431,B
29094,J
585,R
72055,T
1739002,A
78798,T
34398,B
112261,J
13446,E
87192,M
16896,J
6450,F
3380,B
157936,J
6168,A
98539,F
6609,T
61303,D
46944,M
1937,M
1242827,E
586186,G
2750,J
37469,B
15531,O
51718,N
19178,D
2165,R
26860,J
14837,C
518,D
4391,C
1587566,C
28745,D
39923,F
231664,G
15838,L
231713,C
6431,D
9546,J
349,S
13852,V
13853,F
14028,J
14029,R
14434,G
14435,M
19426,J
21301,E
14027,P
14438,H
106569,M
106570,A
29545,C
3363,N
13855,A
147962,M
21306,A
21303,E
68703,T
578708,L
290,C
14674,G
11487,M
1172108,M
30083,L
102786,B
1181293,M
556903,M
115863,F
3125,M
1846217,D
1104726,H
44549,P
1490,J
1523586,B
46432,G
112035,M
1725875,C
1241252,R
18977,E
1248913,J
112200,S
34521,M
1215120,T
501362,E
470303,B
68842,J
1074129,F
2066306,F
173729,Y
1700943,J
938972,A
1236595,H
21049,Y
564,R
584,P
2219,T
40036,T
6944,O
1005852,J
5621,J
5620,K
85,J
776,E
898,M
1264,B
78707,T
7542,A
55794,S
1468163,V
44797,T
1434484,S
99846,S
51750,J
158769,K
39104,A
2313633,A
22082,L
2057865,A
1778612,T
1848881,B
4587,H
110380,C
820,E
821,B
237405,L
590963,M
23052,G
22902,H
37366,L
880,B
1330888,A
83002,J
2501669,M
87927,W
1324998,L
110316,J
145116,S
231677,K
2576887,G
1684452,E
231666,A
1224010,J
117313,C
117319,M
10297,M
1813,A
19049,M
15196,D
46780,S
66884,E
17844,E
6263,H
2883,L
3011,L
67676,K
116838,B
31070,R
31071,M
2264,P
56553,R
1047752,A
173150,R
56950,D
66606,G
66586,M
37625,A
14639,M
4756,M
16940,J
7570,L
130231,B
10739,B
84914,L
76143,R
2161106,S
2161107,R
2161104,C
24366,P
20030,J
27643,M
65,I
3672,P
138411,M
5414,C
39,S
1348683,M
1261112,V
1782038,E
134667,B
118426,G
116,K
66441,T
10882,R
1599422,E
70615,R
2048,G
90609,O
87003,C
1060565,M
84932,J
517,P
49735,A
95136,D
1116282,C
1100,A
2713,L
2209854,D
2978,M
13922,S
102860,D
1748905,T
7470,M
1213611,A
67273,R
29408,U
87255,C
1298360,L
174838,G
16377,J
103436,M
103437,G
521,M
1058,B
175462,L
1239621,G
553520,P
582851,S
56128,K
1623255,M
100614,J
1215055,K
28410,J
77624,R
1178637,T
83272,C
205474,A
1502483,L
1160651,A
2591057,C
139564,D
81488,A
17835,R
55398,A
39189,S
104779,N
227035,K
93841,G
70673,L
64384,M
1071306,D
143190,W
1139708,S
937835,L
103127,B
1329897,M
229302,K
26756,Y
22411,C
22412,J
1232357,K
532942,F
76141,D
13525,M
2106740,A
7124,R
7125,R
854,J
7683,W
1532776,D
738,S
36897,H
1346871,G
1348932,M
1198488,H
59070,M
940219,J
925500,M
4973,C
10168,D
37332,D
1227864,C
199999,A
115252,N
115251,J
16418,C
67778,J
188238,M
49812,K
6638,M
1923,R
21345,S
109,E
1178795,B
52601,S
58965,A
206100,T
122844,J
1547914,E
15100,L
23680,D
4765,J
18345,B
17787,P
1666,J
30428,M
136532,M
10205,S
4139,T
5048,H
578,R
35862,D
65446,K
9188,B
47096,R
47654,P
