ST,Timestamp,Confirmed
IL,2020-01-27 23:59:00,1
IL,2020-01-28 23:00:00,1
IL,2020-01-29 19:30:00,1
IL,2020-01-30 16:00:00,1
IL,2020-01-31 23:59:00,2
IL,2020-03-10 18:33:03,12
IL,2020-03-11 20:00:00,46
IL,2020-03-11 22:53:03,25
IL,2020-03-12 23:44:33,32
IL,2020-03-14 22:33:04,64
IL,2020-03-15 18:20:19,93
IL,2020-03-16 22:13:21,105
IL,2020-03-17 22:53:03,161
IL,2020-03-18 19:14:34,162
IL,2020-03-19 21:13:40,422
IL,2020-03-20 21:13:32,585
IL,2020-03-21 23:13:18,753
IL,2020-03-22 23:45:00,1015
IL,2020-03-23 23:19:34,1252
IL,2020-03-24 23:37:31,1496
IN,2020-03-10 17:13:25,6
IN,2020-03-11 20:00:00,13
IN,2020-03-11 22:53:03,11
IN,2020-03-12 23:44:33,13
IN,2020-03-14 16:53:03,16
IN,2020-03-15 18:20:19,20
IN,2020-03-16 22:33:03,25
IN,2020-03-17 23:13:10,30
IN,2020-03-18 19:33:03,39
IN,2020-03-19 23:43:04,60
IN,2020-03-20 21:43:03,86
IN,2020-03-21 23:13:18,128
IN,2020-03-22 23:45:00,151
IN,2020-03-23 23:19:34,224
IN,2020-03-24 23:37:31,262
IA,2020-03-10 02:33:04,8
IA,2020-03-11 02:53:03,13
IA,2020-03-11 20:00:00,17
IA,2020-03-12 23:44:33,16
IA,2020-03-13 23:53:03,17
IA,2020-03-15 18:20:19,18
IA,2020-03-16 23:53:03,23
IA,2020-03-18 05:53:25,29
IA,2020-03-19 23:43:04,44
IA,2020-03-20 19:43:03,45
IA,2020-03-21 19:43:03,68
IA,2020-03-22 23:45:00,63
IA,2020-03-23 23:19:34,59
IA,2020-03-24 23:37:31,80
KS,2020-03-10 03:13:17,1
KS,2020-03-11 20:00:00,5
KS,2020-03-14 22:33:03,8
KS,2020-03-16 17:13:23,11
KS,2020-03-17 23:13:10,18
KS,2020-03-19 21:43:03,34
KS,2020-03-20 21:43:03,44
KS,2020-03-21 23:13:18,57
KS,2020-03-22 23:45:00,52
KS,2020-03-23 23:19:34,67
KS,2020-03-24 23:37:31,77
KY,2020-03-10 02:33:04,6
KY,2020-03-11 03:13:08,8
KY,2020-03-11 20:00:00,14
KY,2020-03-12 23:44:33,10
KY,2020-03-13 23:53:03,14
KY,2020-03-15 02:53:02,20
KY,2020-03-16 18:33:03,21
KY,2020-03-17 23:33:02,26
KY,2020-03-18 14:13:56,27
KY,2020-03-19 23:43:04,37
KY,2020-03-20 16:13:22,47
