E,L
0,0.0020249187638055285
1,0.005952750372727481
2,0.01434891110851333
3,0.012279854152229423
4,0.011098555446539574
5,0.0061565461096328685
6,0.0014088977961527985
7,0.012008607746115296
8,0.0032124540463526062
9,0.005381547175307768
10,0.012939780253163464
11,0.018694388516340185
12,0.00294807886597032
13,0.013238474421170482
14,0.02802669407903908
15,0.01632298208048332
16,0.03219023954555336
17,0.009104364777398085
18,0.01270754504222507
19,0.0266479330905913
20,0.009636074927050611
21,0.014209207331866505
22,0.008260777808411314
23,0.0115068134598587
24,0.008585406222191404
25,0.011970046156967994
26,0.011713041022725194
27,0.011670370216928991
28,0.007186048288168678
29,0.010522473330930543
30,0.00427988469470399
31,0.02579381400646686
32,0.01210473233904101
33,0.00813375048793496
34,0.0041457875005921465
35,0.036840775521156145
36,0.010447275721453788
37,0.0607162767056779
38,0.013727725703842066
39,0.029701343336627634
40,0.014979617952396492
41,0.011855887187386885
42,0.017283056008704552
43,0.02870580625936173
44,0.021696871226062314
45,0.02520592107025731
46,0.002177764909251065
47,0.020984445024831058
48,0.019931638492604573
49,0.008022069870054414
50,0.019249063197985763
51,0.009868328379219254
52,0.027760202178659037
53,0.008678432231681198
54,0.024407099827722944
55,0.014323292812751366
56,0.0018628378888107724
57,0.008959564554148886
58,0.012508609594998022
59,0.022526886979790495
60,0.019421551173881387
61,0.013456557955143349
62,0.01653130427401
63,0.005818226963595484
64,0.016085539406562318
65,0.031562908056770686
66,0.027668576978230656
67,0.012531401398090117
68,0.012866310737725196
69,0.015376697239658042
70,0.02224729399275353
71,0.021392100644863188
72,0.0025535984414126376
73,0.005599168241805751
74,0.01605505829948525
75,0.013567857789650072
76,0.0664154277257915
77,0.015755034782572064
78,0.03146400904208318
79,0.0011644397794677375
80,0.022868068436142013
81,0.01863055238044221
82,0.013327884828421899
83,0.005932143373185434
84,0.004456122529732177
85,0.006982222139131086
86,0.025227609676702865
87,0.013596210207256688
88,0.004684634457458766
89,0.0322876577193135
90,0.0076569286923538465
91,0.018784339141967605
92,0.023236693848304603
93,0.018688506334099905
94,0.017546106804653554
95,0.009922514449467203
96,0.00826497888684962
97,0.0061905931864271145
98,0.02405741417943555
99,0.01676910641626569
100,0.012298131971970305
101,0.020742223337914988
102,0.006112382186997256
103,0.011686846666232703
104,0.012551997211599166
105,0.006582051124077296
106,0.010627834398411702
107,0.03110592294081446
108,0.01684205141900164
109,0.012448403110439049
110,0.011221978613420074
111,0.012376082780912998
112,0.0132912230438009
113,0.012944883545247062
114,0.018143160501959334
115,0.021828851389855373
116,0.006937037984612365
117,0.026627686587455634
118,0.021138167493889526
119,0.01612362719737506
120,0.004008606366315837
121,0.0046259496322394456
122,0.008942126424954695
123,0.008368849383281723
124,0.005198380228489861
125,0.01106406525649834
126,0.038555463802169544
127,0.004030381247468154
128,0.01056479711116465
129,0.005380077508753572
130,0.020669108592276882
131,0.011743310308431489
132,0.0022330199282595267
133,0.013025855058303518
134,0.009804848647483093
135,0.01367237711593114
136,0.012572999999989065
137,0.011241515645145032
138,0.01226800917020141
139,0.012922732605754564
140,0.01505664570880042
141,0.022225062654578236
142,0.007738606140644393
143,0.013932448600293282
144,0.008177539299809952
145,0.004528801276273022
146,0.008270464376327582
147,0.014466672457759702
148,0.013547010777292921
149,0.019778467205518083
150,0.007793635993552222
151,0.02441114985001428
152,0.01592776522303656
153,0.01402857373363797
154,0.006673028173173623
155,0.008640590836284606
156,0.003817393089533763
157,0.015679390453717724
158,0.01203365688392556
